time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,omg_p,omg_q,omg_r,orient_0,orient_1,orient_2,orient_3
25.8,-6.431740268770051,82.87311153967903,3847.0198549588563,-0.1481871744560048,4.2379482760959295,-24.46444376994253,0.2304717180535307,1.1516262777743624,-8.685514740266271,1.6949786860701384,1.0989347158666565,1.7764847464698268,-0.30058771513675436,0.9282100253277796,0.18039864838309227,0.12304008574892457
25.810000000000002,-6.433210604645533,82.91554866022398,3846.774776918903,-0.14587626692033423,4.249498712052896,-24.551059450185743,0.2316089263400939,1.1579647720943282,-8.637652126901289,1.6728960741094152,1.04275966025283,1.7786495782722664,-0.31043672973750774,0.9265402965136844,0.17155996970477708,0.12380802185972774
25.82,-6.434657761966305,82.95810166637686,3846.528835159711,-0.14355584525009224,4.261103038733742,-24.637199180253337,0.23239558271825833,1.1625089854958461,-8.590506836555473,1.6484272791350745,0.9871121029331021,1.7808373535049526,-0.3200763791184628,0.924779919524665,0.16275351997549015,0.12431148226064517
25.830000000000002,-6.436081670156382,83.00077097104123,3846.2820343591065,-0.14122927985873387,4.272743992062813,-24.722871136416746,0.23284617709268532,1.165331231648166,-8.544219792479387,1.6216070201257433,0.9320969096074465,1.7830448118258548,-0.32949876804080575,0.9229380899330573,0.1539816766236343,0.12455496708120647
25.84,-6.43748230906013,83.04355672893817,3846.0343790830725,-0.13889973694087754,4.2844053253439585,-24.808085614795484,0.2329778160115005,1.166517376307664,-8.498920475913797,1.592477600785489,0.8778175961999424,1.7852687963315348,-0.33869651259147465,0.9210239870653492,0.14524635738525274,0.12454345129440872
25.85,-6.438859659467144,83.08645908994863,3845.785873895494,-0.13657037886265538,4.2960708109538155,-24.892852951249917,0.23280765507694767,1.1661535392911908,-8.454738153596475,1.5610814670089026,0.8243776533303914,1.787506152057717,-0.34766223844322586,0.9190467899434652,0.13654947137854057,0.12428191877512196
25.86,-6.440213712129557,83.12947815271305,3845.536523315502,-0.13424429926769602,4.307724567922611,-24.977183876614113,0.23235320350655436,1.164327700393628,-8.411798689408332,1.527462715236929,0.7718798295027542,1.7897537623873025,-0.3563886972788227,0.9170156325989007,0.1278928143210722,0.12377544825314556
25.87,-6.441544526274178,83.17261366368464,3845.286331554619,-0.13192411945500312,4.319353097905604,-25.061091836462715,0.231634400992014,1.161140623440297,-8.370204558660184,1.4916767864714935,0.7204217724980424,1.7920087742716415,-0.36486950687510417,0.9149393398341984,0.11927740250338456,0.1230297704166788
25.88,-6.442852189911307,83.21586522127392,3845.0353026950634,-0.1296122621723924,4.330943904100169,-25.14459141751788,0.2306722088806487,1.1566984460542897,-8.330048405221552,1.453783890427927,0.6700989859962839,1.7942684454537075,-0.37309864907360735,0.9128266064667747,0.11070392458201295,0.12205089000619447
25.89,-6.444136791150814,83.25923242337926,3844.7834408186054,-0.12731114948084182,4.342484493168258,-25.227697210449374,0.22948759205392236,1.151107324447902,-8.291422838952673,1.4138442533175897,0.621006966260493,1.7965300340597303,-0.38107010697526533,0.910686126864395,0.10217306808011861,0.12084481271017433
25.900000000000002,-6.445398430781021,83.30271480227816,3844.530749905657,-0.1250230673528723,4.3539630627962245,-25.310424272361093,0.22810165319621295,1.1444742100335823,-8.254414421012685,1.3719205623834596,0.5732392990467579,1.7987908801556136,-0.3887780768364079,0.9085264524543356,0.09368532991625977,0.1194176743335367
25.91,-6.446637260968228,83.34631162432703,3844.2772335258837,-0.12274975027810921,4.365370610967714,-25.392789550528168,0.22653605342242084,1.1369092766813063,-8.219085200892097,1.3280854779171143,0.5268818280004443,1.801048655858412,-0.3962176187012323,0.9063555554139038,0.08524043460563446,0.11777613796315259
25.92,-6.447853446891445,83.39002208853135,3844.0228951449194,-0.12049279306990812,4.376698844908822,-25.474810470957003,0.22481259528336497,1.1285235144256813,-8.185491019913542,1.282414186123786,0.4820184358916807,1.803301117385099,-0.40338401138893387,0.9041812612114601,0.07683791103375918,0.1159270002326894
25.93,-6.449047153765459,83.43384539370925,3843.7677382278357,-0.11825378989382386,4.387939475151499,-25.556504460836106,0.2229530799934505,1.1194279069051167,-8.15368769371913,1.2349818825492862,0.4387329939095422,1.8055460213804377,-0.4102725346638983,0.9020113943573307,0.06847728726555358,0.11387705823149477
25.94,-6.4502185585851475,83.47778067699512,3843.511766054681,-0.11603412164755719,4.399085300576113,-25.63788933655212,0.2209788687852759,1.1097313319613435,-8.123722583498221,1.1858668377786554,0.39710556053235957,1.8077812653260081,-0.41687877946589585,0.8998534639583338,0.06015782120833864,0.11163325906467558
25.95,-6.451367867067764,83.52182692512503,3843.2549814543772,-0.11383464923606366,4.410131773689776,-25.71898386343983,0.2189102501214644,1.0995375330523185,-8.095622436671752,1.1351548200021464,0.3572068980323735,1.8100050900937363,-0.42319909544697193,0.8977142100999203,0.05187811206732468,0.10920291560793528
25.96,-6.4524952892254435,83.56598310234592,3842.9973871883885,-0.11165615580935626,4.421074743798587,-25.799806948731128,0.21676735205246744,1.088949485887393,-8.069410918267025,1.0829327185329471,0.3191063786124857,1.8122157879029894,-0.42922994571004713,0.8956002578751452,0.04363666055144503,0.10659339543094892
25.97,-6.453601035187662,83.61024817226792,3842.7389860134163,-0.10949941984349702,4.431910084151576,-25.88037750278893,0.2145702811813598,1.078070057891226,-8.04511152961645,1.0292874786010997,0.2828732699474886,1.8144116544048055,-0.4349678001753124,0.8935182232380651,0.035431961807796966,0.10381206867903309
25.98,-6.45468532173009,83.654621062432,3842.479780416427,-0.1073649550810148,4.442635024130069,-25.960714613324036,0.2123379293280762,1.0669959832247495,-8.022738500344506,0.9743092125722705,0.2485709192195584,1.8165911796207452,-0.44040951489477265,0.8914742045081568,0.027262195959483728,0.1008664513820603
25.990000000000002,-6.455748375709487,83.69910064566866,3842.2197724752464,-0.10525287371107503,4.453248850125248,-26.040837637051954,0.21008734570403745,1.0558146929859933,-8.00229199655489,0.9180928367899777,0.21625369328373217,1.8187531483976465,-0.445552531613241,0.889473514845928,0.01912506529463995,0.09776428085066308
26.0,-6.4567904248245345,83.74368579023924,3841.958964233532,-0.10316325438720737,4.463751020318995,-26.120765953154084,0.20783542563564364,1.0446128413298577,-7.983771009839632,0.8607336688008254,0.18597520900511424,1.820896370204611,-0.45039434098952963,0.887521401839517,0.011018232195123528,0.09451331287568507
26.01,-6.457811696520631,83.78837536557755,3841.697357717029,-0.10109616225819938,4.4741410623754225,-26.200518929444296,0.20559895761453312,1.0334765457392003,-7.967174122356199,0.8023271434498336,0.15778866273704006,1.823019666530288,-0.45493245515353,0.8856230744618164,0.002939344302911281,0.0911213085408539
