time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,omg_p,omg_q,omg_r,orient_0,orient_1,orient_2,orient_3
12.35,-3.8010583209637985,-31.35103279997667,1096.075070364296,-0.2794164333197338,-1.8325364645039024,-46.37936633057948,0.016579287312003654,0.2726926581217432,-7.98296994138729,-0.030935795739951106,-0.004503821514702553,3.726714807970956,0.006682580772525171,0.04970140319666874,-0.9960594528544227,0.07342744730963062
12.36,-3.8038517390692683,-31.369344526085968,1095.6108776538315,-0.27926439494810784,-1.8298174830140128,-46.45916371790354,0.016470850039105932,0.2733791542074914,-7.976846893106678,-0.03096969550012719,-0.0033289945137787197,3.7329630860028433,0.0053004458742310625,0.031118254706062866,-0.9968243184262964,0.07338416332463508
12.370000000000001,-3.8066436054177037,-31.38762906123184,1095.1458872818926,-0.2791140697321121,-1.8270946379083948,-46.53889942536256,0.016332814578101613,0.2740639616723216,-7.970717675539279,-0.030960221774570917,-0.0021556336923596875,3.7392068072639253,0.003920016307820478,0.012492799096630744,-0.997243007977484,0.07331563421488856
12.38,-3.8094339336072283,-31.40588636459445,1094.6800998654257,-0.27896487313696655,-1.8243678202769582,-46.61857341022616,0.016185120383489574,0.2747113545745733,-7.96457719530311,-0.0309067038215441,-0.000986098751261581,3.745445963311996,0.0025417534573675005,-0.006168449125162609,-0.9973136603650802,0.07322186643392342
12.39,-3.8122227372359654,-31.424116395353977,1094.2135160213777,-0.278816220627891,-1.8216369212096115,-46.69818562976404,0.016047706909768623,0.2752856069725863,-7.9584203590161815,-0.030808470899308563,0.00017725060870010367,3.7516805457048537,0.0011661187069454716,-0.024858975452862087,-0.9970344144461795,0.07310286643527208
12.4,-3.8150100299020386,-31.442319112690587,1093.7461363666946,-0.27866752767010533,-1.8189018317962633,-46.77773604124587,0.01594051361143759,0.27575099292470057,-7.952242073296508,-0.03066485226612612,0.0013320546867096605,3.7579105460002946,-0.00020642655937202006,-0.04357226538000927,-0.9964034090778765,0.07295864067246693
12.41,-3.817795824863136,-31.46049447580144,1093.2779615186864,-0.27851831085518675,-1.8161624712594011,-46.85722459819749,0.01588060237578782,0.2760783216172845,-7.946038188707983,-0.03047538039844627,0.0024760806637825076,3.7641359560994117,-0.0015754200038786937,-0.06230176561259351,-0.9954188644951397,0.07278920154427478
12.42,-3.8205801331252744,-31.47864244399603,1092.8089920970647,-0.2783687556299264,-1.8134189448919156,-46.93665122938281,0.015866002704495834,0.2762816259280109,-7.9398107991237765,-0.030240931868836193,0.0036079349242483004,3.7703567701738767,-0.0029403929814899054,-0.0810406663136293,-0.9940795391706102,0.07259460077156532
12.43,-3.82336296478017,-31.496762976629462,1092.3392287225163,-0.2782193190341175,-1.8106714335417924,-47.01601585351101,0.01588701587549517,0.27639248999502825,-7.933564533553319,-0.029962929028817947,0.004726564616390809,3.7765729833173465,-0.004300874285969081,-0.09978205347519065,-0.9923844101318304,0.0723749060422035
12.44,-3.8261443299169073,-31.51485603305698,1091.8686720157311,-0.2780704588884946,-1.8079201182742688,-47.095318389262346,0.0159339209449038,0.27644254842356314,-7.927304028295601,-0.029642795799252105,0.005830917868330046,3.782784590626128,-0.005656392703715284,-0.11851901278981734,-0.990332455034778,0.07213018508996585
12.450000000000001,-3.8289242386245728,-31.532921572633825,1091.3973225973987,-0.2779226330137921,-1.8051651801545823,-47.17455875531709,0.015996996968839702,0.2764634358188424,-7.92103391964961,-0.029281956100999186,0.006919942808186218,3.7889915871965285,-0.007006477021127814,-0.13724462995005257,-0.9879226515354298,0.0718605056486289
12.46,-3.8317027009922504,-31.550959554715227,1090.925181088209,-0.2777762992307447,-1.802406800247971,-47.2537368703555,0.01606652300342083,0.27648678678609284,-7.9147588439143375,-0.028881833854919894,0.007992587564078953,3.795193968124853,-0.008350656024605252,-0.15595199064842946,-0.9851539772897643,0.07156593545196935
12.47,-3.834479727007779,-31.56896993867958,1090.4522481088609,-0.277631910239137,-1.7996451599059395,-47.33285265301167,0.016132797137409293,0.27654415807729577,-7.908483426109406,-0.028443851929701308,0.009047799021092297,3.8013917285013017,-0.009688458539396441,-0.17463418013547574,-0.9820254113333118,0.07124654230941749
